LaurentMazare,ocaml-torch,,,,,,,,,,,,,,
e-sensing,sits,,,,,,,,,,,,,,
SciSharp,SiaNet,,,,,,,,,,,,,,
interpretml,interpret-text,,,,,,,,,,,,,,
frankkramer-lab,MIScnn,,,,,,,,,,,,,,
3DiVi,nuitrack-sdk,,,,,,,,,,,,,,
TimDettmers,sparse_learning,,,,,,,,,,,,,,
opencog,link-grammar,,,,,,,,,,,,,,
Aquila-Network,AquilaDB,,,,,,,,,,,,,,
DmitryRyumin,INTERSPEECH-2023-Papers,,,,,,,,,,,,,,
osai-ai,tensor-stream,,,,,,,,,,,,,,
iMoonLab,DeepHypergraph,,,,,,,,,,,,,,
JordiCorbilla,stock-prediction-deep-neural-learning,,,,,,,,,,,,,,
smistad,FAST,,,,,,,,,,,,,,
AlexImmer,Laplace,,,,,,,,,,,,,,
FunctionLab,selene,,,,,,,,,,,,,,
aamini,evidential-deep-learning,,,,,,,,,,,,,,
phuselab,pyVHR,,,,,,,,,,,,,,
EricSteinberger,PokerRL,,,,,,,,,,,,,,
LuxDL,Lux.jl,,,,,,,,,,,,,,
FluxML,GeometricFlux.jl,,,,,,,,,,,,,,
DeepBCI,Deep-BCI,,,,,,,,,,,,,,
lmjohns3,theanets,,,,,,,,,,,,,,
kengz,openai_lab,,,,,,,,,,,,,,
NeuromorphicProcessorProject,snn_toolbox,,,,,,,,,,,,,,
dmmiller612,sparktorch,,,,,,,,,,,,,,
modern-fortran,neural-fortran,,,,,,,,,,,,,,
IntelLabs,bayesian-torch,,,,,,,,,,,,,,
talmolab,sleap,,,,,,,,,,,,,,
WwZzz,easyFL,,,,,,,,,,,,,,
anish-lakkapragada,SeaLion,,,,,,,,,,,,,,
ymgaq,AQ,,,,,,,,,,,,,,
yongzhuo,Macadam,,,,,,,,,,,,,,
neuralmagic,sparsezoo,,,,,,,,,,,,,,
LongmaoTeamTf,deep_recommenders,,,,,,,,,,,,,,
iml-wg,HEP-ML-Resources,,,,,,,,,,,,,,
odlgroup,odl,,,,,,,,,,,,,,
deepmind,clrs,,,,,,,,,,,,,,
joaopauloschuler,neural-api,,,,,,,,,,,,,,
Esri,deep-learning-frameworks,,,,,,,,,,,,,,
mmaaz60,EdgeNeXt,,,,,,,,,,,,,,
microsoft,causica,,,,,,,,,,,,,,
sebastian-lapuschkin,lrp_toolbox,,,,,,,,,,,,,,
Kaleidophon,deep-significance,,,,,,,,,,,,,,
robmarkcole,fire-detection-from-images,,,,,,,,,,,,,,
allenai,allennlp-models,,,,,,,,,,,,,,
google,qkeras,,,,,,,,,,,,,,
qiskit-community,qiskit-machine-learning,,,,,,,,,,,,,,
zama-ai,concrete-ml,,,,,,,,,,,,,,
thieu1995,mealpy,,,,,,,,,,,,,,
google,caliban,,,,,,,,,,,,,,
ONNC,onnc,,,,,,,,,,,,,,
PaddlePaddle,Quantum,,,,,,,,,,,,,,
jaredleekatzman,DeepSurv,,,,,,,,,,,,,,
pasky,pachi,,,,,,,,,,,,,,
deel-ai,xplique,,,,,,,,,,,,,,
G-U-N,PyCIL,,,,,,,,,,,,,,
stephenhky,PyShortTextCategorization,,,,,,,,,,,,,,
LPDI-EPFL,masif,,,,,,,,,,,,,,
gnina,gnina,,,,,,,,,,,,,,
memo,ofxMSATensorFlow,,,,,,,,,,,,,,
materialsvirtuallab,megnet,,,,,,,,,,,,,,
richmondu,libfaceid,,,,,,,,,,,,,,
leondgarse,keras_cv_attention_models,,,,,,,,,,,,,,
f-dangel,cockpit,,,,,,,,,,,,,,
IBM,federated-learning-lib,,,,,,,,,,,,,,
EdisonLeeeee,GraphGallery,,,,,,,,,,,,,,
MolecularAI,aizynthfinder,,,,,,,,,,,,,,
supervisely,supervisely,,,,,,,,,,,,,,
zomux,deepy,,,,,,,,,,,,,,
metaopt,torchopt,,,,,,,,,,,,,,
dso-org,deep-symbolic-optimization,,,,,,,,,,,,,,
WenjieDu,PyPOTS,,,,,,,,,,,,,,
OpenRL-Lab,openrl,,,,,,,,,,,,,,
kk7nc,RMDL,,,,,,,,,,,,,,
anttttti,Wordbatch,,,,,,,,,,,,,,
ufal,neuralmonkey,,,,,,,,,,,,,,
torchmd,torchmd,,,,,,,,,,,,,,
MegEngine,MegCC,,,,,,,,,,,,,,
baldassarreFe,deep-koalarization,,,,,,,,,,,,,,
PistonY,torch-toolbox,,,,,,,,,,,,,,
understandable-machine-intelligence-lab,Quantus,,,,,,,,,,,,,,
clovaai,AdamP,,,,,,,,,,,,,,
carefree0910,carefree-learn,,,,,,,,,,,,,,
openspeech-team,openspeech,,,,,,,,,,,,,,
tensorlayer,RLzoo,,,,,,,,,,,,,,
thunlp,OpenAttack,,,,,,,,,,,,,,
chainer,chainer-chemistry,,,,,,,,,,,,,,
DataCanvasIO,DeepTables,,,,,,,,,,,,,,
abdallahdib,NextFace,,,,,,,,,,,,,,
Xilinx,finn,,,,,,,,,,,,,,
yunabe,tslab,,,,,,,,,,,,,,
braindecode,braindecode,,,,,,,,,,,,,,
SciSharp,Keras.NET,,,,,,,,,,,,,,
GRAAL-Research,poutyne,,,,,,,,,,,,,,
aspuru-guzik-group,selfies,,,,,,,,,,,,,,
benedekrozemberczki,awesome-monte-carlo-tree-search-papers,,,,,,,,,,,,,,
norse,norse,,,,,,,,,,,,,,
yingkaisha,keras-unet-collection,,,,,,,,,,,,,,
SforAiDl,KD_Lib,,,,,,,,,,,,,,
NVIDIA,Dataset_Synthesizer,,,,,,,,,,,,,,
SMILELab-FL,FedLab,,,,,,,,,,,,,,
QUVA-Lab,e2cnn,,,,,,,,,,,,,,
sooftware,kospeech,,,,,,,,,,,,,,
zkonduit,ezkl,,,,,,,,,,,,,,
lucidrains,nuwa-pytorch,,,,,,,,,,,,,,
RobustBench,robustbench,,,,,,,,,,,,,,
ucb-bar,gemmini,,,,,,,,,,,,,,
AgnostiqHQ,covalent,,,,,,,,,,,,,,
Xpitfire,symbolicai,,,,,,,,,,,,,,
rusty1s,pytorch_cluster,,,,,,,,,,,,,,
inspirehep,magpie,,,,,,,,,,,,,,
larq,larq,,,,,,,,,,,,,,
havakv,pycox,,,,,,,,,,,,,,
openvinotoolkit,nncf,,,,,,,,,,,,,,
AstraZeneca,chemicalx,,,,,,,,,,,,,,
microsoft,O-CNN,,,,,,,,,,,,,,
TsingZ0,PFL-Non-IID,,,,,,,,,,,,,,
ritchieng,deep-learning-wizard,,,,,,,,,,,,,,
atomistic-machine-learning,schnetpack,,,,,,,,,,,,,,
198808xc,Pangu-Weather,,,,,,,,,,,,,,
cerndb,dist-keras,,,,,,,,,,,,,,
awslabs,dgl-lifesci,,,,,,,,,,,,,,
safe-graph,DGFraud,,,,,,,,,,,,,,
tum-pbs,PhiFlow,,,,,,,,,,,,,,
jax-md,jax-md,,,,,,,,,,,,,,
NVIDIA-AI-IOT,redtail,,,,,,,,,,,,,,
nfstream,nfstream,,,,,,,,,,,,,,
ayoolaolafenwa,PixelLib,,,,,,,,,,,,,,
yoshitomo-matsubara,torchdistill,,,,,,,,,,,,,,
GuitarML,NeuralPi,,,,,,,,,,,,,,
deepmedic,deepmedic,,,,,,,,,,,,,,
awslabs,multi-model-server,,,,,,,,,,,,,,
benedekrozemberczki,awesome-gradient-boosting-papers,,,,,,,,,,,,,,
movidius,ncappzoo,,,,,,,,,,,,,,
fastmachinelearning,hls4ml,,,,,,,,,,,,,,
keunwoochoi,kapre,,,,,,,,,,,,,,
getkeops,keops,,,,,,,,,,,,,,
a-r-j,graphein,,,,,,,,,,,,,,
mit-han-lab,torchsparse,,,,,,,,,,,,,,
ROCmSoftwarePlatform,MIOpen,,,,,,,,,,,,,,
mila-iqia,fuel,,,,,,,,,,,,,,
huawei-noah,bolt,,,,,,,,,,,,,,
intel,caffe,,,,,,,,,,,,,,
LAMDA-NJU,Deep-Forest,,,,,,,,,,,,,,
dusty-nv,jetson-reinforcement,,,,,,,,,,,,,,
youngfish42,Awesome-FL,,,,,,,,,,,,,,
microsoft,AI,,,,,,,,,,,,,,
UKPLab,emnlp2017-bilstm-cnn-crf,,,,,,,,,,,,,,
