Repository
NREL/phygnn
deepdiy/deepdiy
Oslandia/deeposlandia
brandontrabucco/design-bench
udacity/RoboND-DeepLearning-Project
oval-group/dfw
IBM/inFairness
ZaidQureshi/bam
rstudio/tfestimators
gpauloski/kfac-pytorch
imperial-qore/COSCO
CRBS/cdeep3m
hcji/PyFingerprint
maxmekiska/Imbrium
XinshaoAmosWang/ProSelfLC-AT
debrajhyper/Topic_Learning_Resources
tensorly/torch
dlshriver/dnnv
gitter-lab/nn4dms
amd/ZenDNN
Heldenkombinat/Logodetect
kimmo1019/Roundtrip
rundherum/pymia
kailaix/ADSeismic.jl
PUTvision/qgis-plugin-deepness
MLRG-CEFET-RJ/stconvs2s
AlturosDestinations/Alturos.ImageAnnotation
AI4EPS/GaMMA
saforem2/l2hmc-qcd
NREL/nfp
jomjol/neural-network-digital-counter-readout
nict-wisdom/rannc
Lornatang/ESPCN-PyTorch
eora-ai/torchok
YukeWang96/GNNAdvisor_OSDI21
guildai/_guild-legacy
unifyai/gym
kundajelab/chrombpnet
DigitalGrainSize/SediNet
SPOClab-ca/dn3
claritylab/djinn
fvalka/atc-reinforcement-learning
lacmus-foundation/lacmus-app
kmader/Quantitative-Big-Imaging-2018
PwnerHarry/Stronger_GCN
mala-project/mala
realrate/Causing
mmphego/face_mask_detection_openvino
SvenBecker/vscode-pytorch
IntelLabs/matsciml
google-deepmind/dks
jolibrain/livedetect
BlueBrain/BioExplorer
jarrellmark/ai_upscaler_for_blender
