Repository
ludwig-ai/ludwig
tflearn/tflearn
chroma-core/chroma
alibaba/MNN
yzhao062/pyod
lucidrains/imagen-pytorch
shenweichen/DeepCTR
espnet/espnet
satellite-image-deep-learning/techniques
lmcinnes/umap
facebookresearch/pytext
unit8co/darts
tensorpack/tensorpack
NVIDIA/Megatron-LM
microsoft/nlp-recipes
EleutherAI/gpt-neox
Swift-AI/Swift-AI
chainer/chainer
microsoft/MMdnn
tiny-dnn/tiny-dnn
interpretml/interpret
dmlc/gluon-cv
jeffheaton/t81_558_deep_learning
yandexdataschool/Practical_RL
leela-zero/leela-zero
gorgonia/gorgonia
flashlight/flashlight
tensorspace-team/tensorspace
XiaoMi/mace
blei-lab/edward
justadudewhohacks/opencv4nodejs
openvinotoolkit/openvino
mosaicml/composer
tensorflow/lucid
christophM/interpretable-ml-book
guofei9987/scikit-opt
lucidrains/deep-daze
fizyr/keras-retinanet
yinggaozhen/awesome-go-cn
pytorch/ignite
uber/causalml
facebookincubator/AITemplate
IntelLabs/distiller
deep-learning-with-pytorch/dlwpt-code
makcedward/nlpaug
tensorflow/probability
PaddlePaddle/PaddleRec
NervanaSystems/neon
timeseriesAI/tsai
postgresml/postgresml
xenova/transformers.js
deepjavalibrary/djl
kwai/DouZero
burn-rs/burn
lucidrains/x-transformers
POSTECH-CVLab/PyTorch-StudioGAN
oneapi-src/oneDNN
py-why/EconML
catalyst-team/catalyst
briatte/awesome-network-analysis
Picovoice/porcupine
