Repository
leriomaggio/deep-learning-keras-tensorflow
IntelLabs/nlp-architect
google/deepvariant
Jittor/jittor
visionml/pytracking
Kitt-AI/snowboy
jettify/pytorch-optimizer
opendilab/DI-engine
stellargraph/stellargraph
thuml/Transfer-Learning-Library
tensorflow/ranking
sony/nnabla
seandavi/awesome-single-cell
lightvector/KataGo
microsoft/forecasting
magenta/ddsp
shenweichen/DeepCTR-Torch
ryanjay0/miles-deep
zackchase/mxnet-the-straight-dope
bethgelab/foolbox
Rust-GPU/Rust-CUDA
microsoft/pai
jeeliz/jeelizFaceFilter
datamllab/rlcard
danielegrattarola/spektral
IntelLabs/coach
titu1994/Neural-Style-Transfer
torch-points3d/torch-points3d
rasbt/machine-learning-book
benedekrozemberczki/awesome-decision-tree-papers
benedekrozemberczki/pytorch_geometric_temporal
LeelaChessZero/lc0
automl/Auto-PyTorch
niklasf/python-chess
open-mmlab/mmdeploy
NVIDIA/MinkowskiEngine
google/neural-tangents
mindee/doctr
shenweichen/DeepMatch
Farama-Foundation/HighwayEnv
google-deepmind/mctx
graphistry/pygraphistry
PennyLaneAI/pennylane
pyro-ppl/numpyro
jakeret/tf_unet
lululxvi/deepxde
minimaxir/automl-gs
RosettaCommons/RoseTTAFold
GauravBh1010tt/DeepLearn
GPflow/GPflow
neuralmagic/sparseml
PlayVoice/so-vits-svc-5.0
ZiyaoGeng/RecLearn
julius-speech/julius
krasserm/bayesian-machine-learning
nihui/opencv-mobile
lukalabs/cakechat
symisc/sod
prabhuomkar/pytorch-cpp
Unity-Technologies/Unity-Robotics-Hub
learning-at-home/hivemind
neuralmagic/deepsparse
quic/aimet
graph4ai/graph4nlp
VainF/Torch-Pruning
divelab/DIG
JasonMa0012/JTRP
lucidrains/lightweight-gan
uTensor/uTensor
THUDM/CogDL
OpenImageDenoise/oidn
Xtra-Computing/thundersvm
helblazer811/ManimML
natethegreate/hent-AI
chainer/chainercv
ahmedfgad/GeneticAlgorithmPython
tensorflow/mesh
microsoft/NeuronBlocks
benedekrozemberczki/awesome-fraud-detection-papers
Harry24k/adversarial-attacks-pytorch
BloodAxe/pytorch-toolbelt
MilesCranmer/PySR
lucidrains/alphafold2
dmlc/decord
gookit/color
ericjang/tdb
NervanaSystems/ngraph
m2dsupsdlclass/lectures-labs
DragonComputer/Dragonfire
neomatrix369/awesome-ai-ml-dl
filipradenovic/cnnimageretrieval-pytorch
NifTK/NiftyNet
torrvision/crfasrnn
elixir-nx/axon
coreylowman/dfdx
davisking/dlib-models
CalculatedContent/WeightWatcher
Kotlin/kotlindl
linkedin/detext
capitalone/DataProfiler
ivan-vasilev/neuralnetworks
google-deepmind/jraph
chemprop/chemprop
google-deepmind/optax
aigamedev/scikit-neuralnetwork
deepmodeling/deepmd-kit
shibing624/similarity
oskardudycz/ArchitectureWeekly
emilianavt/OpenSeeFace
amaiya/ktrain
KAIR-BAIR/nerfacc
albermax/innvestigate
mila-iqia/blocks
zhanggyb/nndl
glouppe/info8010-deep-learning
facebookresearch/fastMRI
interpretml/DiCE
mratsim/Arraymancer
CPJKU/madmom
ljvmiranda921/pyswarms
jrzaurin/pytorch-widedeep
tfhe/tfhe
DiffEqML/torchdyn
Lucchetto/SuperImage
google-deepmind/rlax
yihui-he/channel-pruning
tsurumeso/vocal-remover
tensorflow/gnn
DLTcollab/sse2neon
takuseno/d3rlpy
novak-99/MLPP
sigsep/open-unmix-pytorch
pygod-team/pygod
manujosephv/pytorch_tabular
keijiro/Pix2Pix
wubinzzu/NeuRec
taehoonlee/tensornets
