Repository
huan/node-facenet
aiqm/torchani
nschaetti/EchoTorch
achaiah/pywick
carefree0910/carefree-learn
interpretml/interpret-community
LaurentMazare/ocaml-torch
pyprob/pyprob
e-sensing/sits
facebookresearch/NeuralCompression
3DiVi/nuitrack-sdk
DmitryRyumin/INTERSPEECH-2023-Papers
SciSharp/SiaNet
ORB-HD/deface
interpretml/interpret-text
frankkramer-lab/MIScnn
TimDettmers/sparse_learning
opencog/link-grammar
Aquila-Network/AquilaDB
iMoonLab/DeepHypergraph
locuslab/convex_adversarial
osai-ai/tensor-stream
R1j1t/contextualSpellCheck
JordiCorbilla/stock-prediction-deep-neural-learning
smistad/FAST
neurolib-dev/neurolib
aleximmer/Laplace
aamini/evidential-deep-learning
nanoporetech/bonito
FunctionLab/selene
phuselab/pyVHR
EricSteinberger/PokerRL
LuxDL/Lux.jl
FluxML/GeometricFlux.jl
calico/basenji
DeepBCI/Deep-BCI
WwZzz/easyFL
IntelLabs/bayesian-torch
NeuromorphicProcessorProject/snn_toolbox
lmjohns3/theanets
kengz/openai_lab
dmmiller612/sparktorch
modern-fortran/neural-fortran
talmolab/sleap
anish-lakkapragada/SeaLion
Tobias-Fischer/rt_gene
ymgaq/AQ
neuralmagic/sparsezoo
LongmaoTeamTf/deep_recommenders
yongzhuo/Macadam
iml-wg/HEP-ML-Resources
odlgroup/odl
google-deepmind/clrs
joaopauloschuler/neural-api
Esri/deep-learning-frameworks
mmaaz60/EdgeNeXt
microsoft/causica
Pattio/DeepSwarm
sebastian-lapuschkin/lrp_toolbox
NVIDIA/modulus
robmarkcole/fire-detection-from-images
Kaleidophon/deep-significance
HawkAaron/warp-transducer
lmnt-com/haste
