Repository
tensorlayer/RLzoo
DataCanvasIO/DeepTables
thunlp/OpenAttack
chainer/chainer-chemistry
abdallahdib/NextFace
miguelvr/dropblock
alvinwan/neural-backed-decision-trees
yunabe/tslab
Xilinx/finn
braindecode/braindecode
SciSharp/Keras.NET
GRAAL-Research/poutyne
aspuru-guzik-group/selfies
Picovoice/rhino
norse/norse
benedekrozemberczki/awesome-monte-carlo-tree-search-papers
yingkaisha/keras-unet-collection
SforAiDl/KD_Lib
SMILELab-FL/FedLab
NVIDIA/Dataset_Synthesizer
QUVA-Lab/e2cnn
PaddlePaddle/Anakin
sooftware/kospeech
zkonduit/ezkl
lucidrains/nuwa-pytorch
RobustBench/robustbench
ucb-bar/gemmini
PyHDI/Pyverilog
amaiya/onprem
allenai/allennlp-models
thieu1995/mealpy
AgnostiqHQ/covalent
google/qkeras
zama-ai/concrete-ml
qiskit-community/qiskit-machine-learning
ONNC/onnc
google/caliban
PaddlePaddle/Quantum
jaredleekatzman/DeepSurv
pasky/pachi
G-U-N/PyCIL
deel-ai/xplique
stephenhky/PyShortTextCategorization
LPDI-EPFL/masif
gnina/gnina
memo/ofxMSATensorFlow
materialsvirtuallab/megnet
richmondu/libfaceid
leondgarse/keras_cv_attention_models
f-dangel/cockpit
IBM/federated-learning-lib
EdisonLeeeee/GraphGallery
MolecularAI/aizynthfinder
microsoft/archai
supervisely/supervisely
matiasvlevi/Dann
WenjieDu/PyPOTS
zomux/deepy
metaopt/torchopt
dso-org/deep-symbolic-optimization
ria-com/nomeroff-net
OpenRL-Lab/openrl
kk7nc/RMDL
MegEngine/MegCC
anttttti/Wordbatch
torchmd/torchmd
ufal/neuralmonkey
baldassarreFe/deep-koalarization
understandable-machine-intelligence-lab/Quantus
PistonY/torch-toolbox
FrancescoSaverioZuppichini/glasses
clovaai/AdamP
