Repository
sicara/tf-explain
tum-pbs/PhiFlow
jax-md/jax-md
NVIDIA-AI-IOT/redtail
nfstream/nfstream
yoshitomo-matsubara/torchdistill
ayoolaolafenwa/PixelLib
GuitarML/NeuralPi
deepmedic/deepmedic
MouseLand/cellpose
awslabs/multi-model-server
benedekrozemberczki/awesome-gradient-boosting-papers
movidius/ncappzoo
marl/crepe
fastmachinelearning/hls4ml
keunwoochoi/kapre
a-r-j/graphein
getkeops/keops
mit-han-lab/torchsparse
ROCmSoftwarePlatform/MIOpen
TensorSpeech/TensorFlowASR
mila-iqia/fuel
LAMDA-NJU/Deep-Forest
huawei-noah/bolt
youngfish42/Awesome-FL
dusty-nv/jetson-reinforcement
intel/caffe
microsoft/AI
UKPLab/emnlp2017-bilstm-cnn-crf
piEsposito/blitz-bayesian-deep-learning
huawei-noah/vega
kexinhuang12345/DeepPurpose
rstudio/keras
spiceai/spiceai
tinkoff-ai/etna
InFoCusp/tf_cnnvis
baal-org/baal
nengo/nengo
ThoughtWorksInc/DeepLearning.scala
deepforge-dev/deepforge
WangRongsheng/ChatGenTitle
libxsmm/libxsmm
jeshraghian/snntorch
Thinklab-SJTU/ThinkMatch
itdxer/neupy
PreferredAI/cornac
jrieke/best-of-streamlit
majianjia/nnom
PaddlePaddle/PaddleHelix
serizba/cppflow
sunlabuiuc/PyHealth
MisaOgura/flashtorch
ikergarcia1996/Self-Driving-Car-in-Video-Games
ceccocats/tkDNN
waylonflinn/weblas
IndicoDataSolutions/finetune
Xpitfire/symbolicai
SelfExplainML/PiML-Toolbox
rusty1s/pytorch_cluster
YuvalNirkin/face_segmentation
inspirehep/magpie
BUPT-GAMMA/OpenHGNN
TsingZ0/PFL-Non-IID
larq/larq
havakv/pycox
openvinotoolkit/nncf
AstraZeneca/chemicalx
microsoft/O-CNN
198808xc/Pangu-Weather
ritchieng/deep-learning-wizard
atomistic-machine-learning/schnetpack
cerndb/dist-keras
awslabs/dgl-lifesci
safe-graph/DGFraud
openspeech-team/openspeech
