Repository
deepqmc/deepqmc
Xilinx/CHaiDNN
bethgelab/model-vs-human
evilsocket/ergo
BethanyL/DeepKoopman
HiLab-git/PyMIC
Bluefog-Lib/bluefog
neuralmagic/sparsify
IBM/MAX-Object-Detector
MarcusOlivecrona/REINVENT
zhongkaifu/RNNSharp
mc2-project/mc2
isaaccorley/torchrs
sony/nnabla-examples
LaurentMazare/tensorflow-ocaml
trackmania-rl/tmrl
PyHDI/veriloggen
NNgen/nngen
histolab/histolab
reservoirpy/reservoirpy
martinsbruveris/tensorflow-image-models
materialsvirtuallab/maml
EFS-OpenSource/calibration-framework
dcmartin/motion-ai
analysiscenter/pydens
cvjena/semantic-embeddings
kailaix/ADCME.jl
HorizonRobotics/alf
tomas-gajarsky/facetorch
massquantity/LibRecommender
